¹øÈ£,°³¹æ¼­ºñ½º¸í,ÀÎÇã°¡ÀÏÀÚ,ÀÎÇã°¡Ãë¼ÒÀÏÀÚ,¿µ¾÷»óÅÂ¸í,»ó¼¼¿µ¾÷»óÅÂ¸í,¼ÒÀçÁö¿ìÆí¹øÈ£,µµ·Î¸í¿ìÆí¹øÈ£,½Ã¼³¸éÀû
1,°ü±¤Ææ¼Ç¾÷,2005-08-29,,ÈÞ¾÷,ÈÞ¾÷,219-832,,
2,°ü±¤Ææ¼Ç¾÷,2007-01-09,,ÈÞ¾÷,ÈÞ¾÷,219-832,24766,
3,°ü±¤Ææ¼Ç¾÷,2008-11-19,,ÈÞ¾÷,ÈÞ¾÷,219-832,24766,721.35
4,°ü±¤Ææ¼Ç¾÷,2015-02-11,,ÈÞ¾÷,ÈÞ¾÷,219-823,24752,
5,°ü±¤Ææ¼Ç¾÷,2009-07-07,,ÈÞ¾÷,ÈÞ¾÷,390-832,390-832,147.24
6,°ü±¤Ææ¼Ç¾÷,2014-11-19,,Æó¾÷,Æó¾÷,780-430,38126,125.86
7,°ü±¤Ææ¼Ç¾÷,2014-11-19,,Æó¾÷,Æó¾÷,780-460,38200,217.44
8,°ü±¤Ææ¼Ç¾÷,2017-09-05,,Æó¾÷,Æó¾÷,,38126,
9,°ü±¤Ææ¼Ç¾÷,2017-09-05,,Æó¾÷,Æó¾÷,,38126,
10,°ü±¤Ææ¼Ç¾÷,2015-07-01,,Æó¾÷,Æó¾÷,355-944,33488,379.17
11,°ü±¤Ææ¼Ç¾÷,2016-06-29,,Æó¾÷,Æó¾÷,,33488,
12,°ü±¤Ææ¼Ç¾÷,2017-08-07,,Æó¾÷,Æó¾÷,,33488,133.2
13,°ü±¤Ææ¼Ç¾÷,2012-11-01,,Æó¾÷,Æó¾÷,340-924,,
14,°ü±¤Ææ¼Ç¾÷,2007-10-11,,Æó¾÷,Æó¾÷,357-971,,640.19
15,°ü±¤Ææ¼Ç¾÷,2007-02-27,,Æó¾÷,Æó¾÷,357-952,,
16,°ü±¤Ææ¼Ç¾÷,2011-08-12,,Æó¾÷,Æó¾÷,350-861,32206,247.92
17,°ü±¤Ææ¼Ç¾÷,2008-12-23,,Æó¾÷,Æó¾÷,,32111,709.78
18,°ü±¤Ææ¼Ç¾÷,2008-09-17,,Æó¾÷,Æó¾÷,,32152,569.82
19,°ü±¤Ææ¼Ç¾÷,2009-01-16,,Æó¾÷,Æó¾÷,,32158,
20,°ü±¤Ææ¼Ç¾÷,2009-05-14,,Æó¾÷,Æó¾÷,,32157,394.08
21,°ü±¤Ææ¼Ç¾÷,2009-01-16,,Æó¾÷,Æó¾÷,,32158,755.82
22,°ü±¤Ææ¼Ç¾÷,2010-06-08,,Æó¾÷,Æó¾÷,357-952,,360.09
23,°ü±¤Ææ¼Ç¾÷,2007-02-27,,Æó¾÷,Æó¾÷,357-952,357-952,
24,°ü±¤Ææ¼Ç¾÷,2017-08-28,,Æó¾÷,Æó¾÷,,32155,884.88
25,°ü±¤Ææ¼Ç¾÷,2018-05-27,,Æó¾÷,Æó¾÷,,32172,281.62
26,°ü±¤Ææ¼Ç¾÷,2012-06-12,,Æó¾÷,Æó¾÷,,32154,
27,°ü±¤Ææ¼Ç¾÷,2010-09-01,,Æó¾÷,Æó¾÷,357-952,,790.78
28,°ü±¤Ææ¼Ç¾÷,2010-10-15,,Æó¾÷,Æó¾÷,357-953,,149.04
29,°ü±¤Ææ¼Ç¾÷,2011-09-07,,Æó¾÷,Æó¾÷,,32157,813.39
30,°ü±¤Ææ¼Ç¾÷,2018-12-27,,Æó¾÷,Æó¾÷,,23014,
31,°ü±¤Ææ¼Ç¾÷,2019-01-25,,Æó¾÷,Æó¾÷,,53332,224.01
32,°ü±¤Ææ¼Ç¾÷,2004-10-27,,Æó¾÷,Æó¾÷,,38125,370.86
33,°ü±¤Ææ¼Ç¾÷,2010-12-09,,Æó¾÷,Æó¾÷,,38175,
34,°ü±¤Ææ¼Ç¾÷,2010-12-28,,Æó¾÷,Æó¾÷,,38126,144.22
35,°ü±¤Ææ¼Ç¾÷,2011-01-18,,Æó¾÷,Æó¾÷,780-852,,
36,°ü±¤Ææ¼Ç¾÷,2011-03-08,,Æó¾÷,Æó¾÷,,38128,
